"TOA5","CR1000_Lanyu","CR1000","81819","CR1000.Std.31","CPU:CR1000_CWB_RadObs_Lanyu_20180928.CR1","36738","Aux_minute"
"TIMESTAMP","RECORD","BattV_Min","SWD_tot_mv_Avg","SWD_dif_mv_Avg","SWD_dir_mv_Avg","LWD_mv_Avg","UVB_mv_Avg","UVE_mv_Avg","PAR_mv_Avg","SWD_tot_ct_Avg","SWD_dif_ct_Avg","LWD_ct_Avg","mt_flag_Tot","SWD_tot_mv_Max","SWD_tot_mv_Min","SWD_tot_mv_Std","SWD_dif_mv_Max","SWD_dif_mv_Min","SWD_dif_mv_Std","SWD_dir_mv_Max","SWD_dir_mv_Min","SWD_dir_mv_Std","LWD_mv_Max","LWD_mv_Min","LWD_mv_Std","UVB_mv_Max","UVB_mv_Min","UVB_mv_Std","UVE_mv_Max","UVE_mv_Min","UVE_mv_Std","PAR_mv_Max","PAR_mv_Min","PAR_mv_Std","SWD_tot_ct_Max","SWD_tot_ct_Min","SWD_tot_ct_Std","SWD_dif_ct_Max","SWD_dif_ct_Min","SWD_dif_ct_Std","LWD_ct_Max","LWD_ct_Min","LWD_ct_Std"
"TS","RN","Volts","mV","mV","mV","mV","mV","mV","mV","C","C","C","","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","C","C","C","C","C","C","C","C","C"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std"
"2019-05-09 00:09:00",320600,12.02,1.358004,1.347745,0,-0.07018039,60.39287,58.99736,1.584611,0,0,23.17159,0,1.366408,1.346115,0.005872345,1.352879,1.33934,0.00514584,0,0,0,-0.06764344,-0.07440834,0.00227954,60.58577,60.24534,0.06568039,59.05411,58.88386,0.08023442,1.593003,1.57271,0.005470166,0,0,0,0,0,0,23.20381,23.13503,0.01644711
"2019-05-09 00:10:00",320601,12.02,1.305578,1.295769,0,-0.06899645,59.90495,58.48391,1.520177,0,0,23.17595,0,1.349487,1.251413,0.02935505,1.33934,1.241267,0.02962399,0,0,0,-0.06764344,-0.07102617,0.001656972,60.41552,59.39436,0.2744297,59.05405,58.03289,0.316614,1.57271,1.457728,0.03406725,0,0,0,0,0,0,23.18217,23.13503,0.01198668
"2019-05-09 00:11:00",320602,12.02,1.18952,1.180331,0.00011274,-0.07407019,58.98024,57.57622,1.386758,0,0,23.16266,0,1.248031,1.119512,0.03840498,1.237885,1.109365,0.03808691,0.003382199,0,0.0006071226,-0.07102617,-0.07440864,0.001014672,59.56454,58.37321,0.3050253,58.03289,57.01174,0.3145685,1.454345,1.305534,0.04447826,0,0,0,0,0,0,23.18217,23.13503,0.01242117
"2019-05-09 00:12:00",320603,12.02,1.049782,1.041214,0.0004509615,-0.07542331,58.01299,56.59479,1.227123,0,0,23.14929,0,1.11613,0.9876093,0.03763269,1.109365,0.9808449,0.0372699,0.003382211,0,0.001149731,-0.07440864,-0.07779086,0.001549925,58.37321,57.52226,0.28152,57.01174,56.16079,0.2871802,1.302151,1.160098,0.04236309,0,0,0,0,0,0,23.16057,23.11537,0.01237253
"2019-05-09 00:13:00",320604,12.01,0.9468535,0.9393562,0.0002254816,-0.07536721,57.2216,55.90834,1.112301,0,0,23.13772,0,0.9876093,0.9132004,0.02195778,0.9808449,0.906436,0.02117487,0.003382224,0,0.0008436748,-0.07440892,-0.07779115,0.001524089,57.52226,56.84152,0.2569107,56.33097,55.65023,0.2514512,1.156721,1.075547,0.02368737,0,0,0,0,0,0,23.16057,23.09181,0.007864084
"2019-05-09 00:14:00",320605,12.02,0.8909261,0.8843872,-5.637039E-05,-0.07440826,56.6316,55.31551,1.050735,0,0,23.122,0,0.9132004,0.8726048,0.0126912,0.906436,0.8624583,0.01281384,0,-0.003382224,0.0004329892,-0.07440817,-0.07440892,2.558037E-07,57.0117,56.33094,0.233279,55.65023,54.96947,0.217428,1.075547,1.028186,0.01410573,0,0,0,0,0,0,23.13893,23.09569,0.01769331
"2019-05-09 00:15:00",320606,12.01,0.8557541,0.848877,0,-0.07237916,56.23521,54.87939,1.010715,0,0,23.07942,0,0.8692227,0.8421702,0.007698302,0.8624583,0.8354058,0.00789394,0,0,0,-0.07102598,-0.07440861,0.001656942,56.67131,55.82132,0.1946574,55.30984,54.28964,0.271437,1.028186,0.9977518,0.00892865,0,0,0,0,0,0,23.09569,23.05052,0.01566455
"2019-05-09 00:16:00",320607,12.01,0.8329211,0.8261003,0,-0.07440823,55.88076,54.46254,0.9849507,0,0,23.05031,0,0.8421702,0.8252521,0.005658051,0.8354058,0.8151056,0.00564982,0,0,0,-0.07440798,-0.07440861,3.10252E-07,56.1617,55.48074,0.160992,54.8002,54.11925,0.1928454,0.9943696,0.974068,0.006741972,0,0,0,0,0,0,23.07408,23.03087,0.01094632
"2019-05-09 00:17:00",320608,12.01,0.8127972,0.8051308,5.636968E-05,-0.07440822,55.61397,54.22128,0.9608808,0,0,23.03555,0,0.8218699,0.8049647,0.0053273,0.8151056,0.7982003,0.004876582,0.003382181,0,0.0004329837,-0.07440798,-0.07440851,2.639072E-07,55.9913,55.48058,0.1321743,54.28944,54.11909,0.08340278,0.9706859,0.9503996,0.005646597,0,0,0,0,0,0,23.05247,23.00923,0.01253687
"2019-05-09 00:18:00",320609,12.02,0.7971271,0.79025,0.0004509589,-0.07440832,55.40111,54.03395,0.9426743,0,0,23.0305,0,0.8049647,0.7914298,0.004999415,0.7982003,0.7846655,0.005124956,0.003382205,0,0.001149724,-0.07440794,-0.07440851,2.704423E-07,55.48058,54.96989,0.1181934,54.28928,53.60841,0.1300022,0.9503996,0.9334813,0.005317872,0,0,0,0,0,0,23.05247,23.00923,0.01651006
