"TOA5","CR1000_Lanyu","CR1000","81819","CR1000.Std.31","CPU:CR1000_CWB_RadObs_Lanyu_20180928.CR1","36738","Rad_minute"
"TIMESTAMP","RECORD","BattV_Min","SWD_tot_watt_Avg","SWD_dif_watt_Avg","SWD_dir_watt_Avg","LWD_watt_Avg","UVB_watt_Avg","UVE_watt_Avg","PAR_watt_Avg","mt_flag_Tot","SWD_tot_watt_Max","SWD_tot_watt_Min","SWD_tot_watt_Std","SWD_dif_watt_Max","SWD_dif_watt_Min","SWD_dif_watt_Std","SWD_dir_watt_Max","SWD_dir_watt_Min","SWD_dir_watt_Std","LWD_watt_Max","LWD_watt_Min","LWD_watt_Std","UVB_watt_Max","UVB_watt_Min","UVB_watt_Std","UVE_watt_Max","UVE_watt_Min","UVE_watt_Std","PAR_watt_Max","PAR_watt_Min","PAR_watt_Std"
"TS","RN","Volts","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","umol/s.m^2","","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","umol/s.m^2","umol/s.m^2","umol/s.m^2"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std"
"2019-05-10 00:00:00",322031,12.01,54.00078,53.33431,0.2159666,433.4186,0.09538984,0.007526388,134.8354,0,59.64317,45.74902,3.701328,59.0569,44.97938,3.751142,0.4319333,0,0.2159666,433.989,432.9783,0.1858843,0.09694571,0.09416943,0.0006838504,0.007632393,0.007391732,6.562062E-05,148.862,114.2581,9.078638
"2019-05-10 00:01:00",322032,12.02,61.66433,60.84723,0.2231626,433.2523,0.09672587,0.007650152,154.921,0,65.40327,54.22033,2.693284,64.54969,53.21916,2.737547,0.4319275,0,0.2158438,433.6926,432.9783,0.1553936,0.09694567,0.09555753,0.0004342165,0.00776991,0.007529249,4.415823E-05,164.5294,135.802,6.507245
"2019-05-10 00:02:00",322033,12.02,70.96585,69.99685,0.1007824,432.6547,0.09804335,0.00779099,179.6749,0,75.56882,62.35338,3.880059,74.50607,61.45955,3.897731,0.4319275,0,0.1826835,433.4257,432.065,0.2990987,0.09867942,0.09659863,0.0005341439,0.007907292,0.00763239,7.737702E-05,190.6432,157.3476,9.662797
"2019-05-10 00:03:00",322034,12.02,75.26981,74.56934,0.2087637,432.1906,0.09902664,0.007892985,190.655,0,77.94139,69.80838,1.891971,77.25329,69.35629,1.912234,0.4319257,0,0.2158424,432.8091,431.7452,0.2550501,0.09972076,0.09833238,0.0004948664,0.007941696,0.007804153,3.279179E-05,198.479,173.0163,5.868146
"2019-05-10 00:04:00",322035,12.02,53.99434,53.42509,0.06478903,433.1371,0.09560857,0.007557801,133.5276,0,69.13062,46.08732,6.65765,68.66959,45.32216,6.848866,0.4319279,0,0.1542288,433.6065,432.3618,0.3135638,0.09833264,0.09416847,0.001208436,0.007804177,0.00739164,0.0001070976,171.7105,114.2566,15.90965
"2019-05-10 00:05:00",322036,12.02,52.05126,51.19315,0.2663537,433.2572,0.0953825,0.00751879,130.5783,0,57.94734,48.45889,2.136249,56.99538,47.38169,2.182995,0.4319279,0,0.2100013,433.4373,432.7232,0.1426201,0.09624945,0.0941673,0.0003324891,0.007632183,0.007494666,3.833368E-05,146.2467,120.1313,6.304075
"2019-05-10 00:06:00",322037,12.02,64.49303,63.47296,0.1439739,432.4759,0.09775916,0.007744501,163.5913,0,69.8073,58.28621,3.026097,69.01186,57.33871,3.125665,0.4319228,0,0.2036099,432.9899,432.0651,0.2453527,0.09833201,0.09624945,0.0006072145,0.007804118,0.007632183,5.358772E-05,176.9309,147.5525,8.050175
"2019-05-10 00:07:00",322038,12.02,70.10084,69.33789,0.2303561,432.185,0.0984998,0.007835639,177.7793,0,72.51759,69.12955,1.082835,71.75794,68.32518,1.024853,0.431919,0,0.2154784,432.5009,431.7983,0.1261779,0.09972046,0.09833201,0.000355654,0.007907287,0.007769739,5.187951E-05,185.4167,174.9722,3.213989
"2019-05-10 00:08:00",322039,12.01,70.23026,69.42898,0.2375533,432.1942,0.09885291,0.007853428,176.962,0,76.92287,62.35157,5.271745,76.22136,61.45776,5.244988,0.431917,0,0.2148751,432.8622,431.671,0.3337661,0.1000675,0.09694424,0.000874464,0.008010427,0.00776977,8.071446E-05,195.8627,156.6901,14.21527
"2019-05-10 00:09:00",322040,12.02,64.27212,63.38075,0.3167391,432.5122,0.09797399,0.007782973,162.4906,0,70.82359,60.99638,2.308844,70.04157,60.08468,2.35149,0.431917,0,0.1910009,432.9041,431.9793,0.2297152,0.09867963,0.09694448,0.0003582255,0.007872934,0.007735414,3.144178E-05,182.1531,153.4265,7.170866
"2019-05-10 00:10:00",322041,12.02,74.09498,73.53352,0.4175272,431.7753,0.09940992,0.007910324,187.695,0,75.90804,71.50132,1.353953,75.53645,70.72826,1.38939,0.4319251,0,0.07753285,432.1182,431.3626,0.1831003,0.09972233,0.09833261,0.000389202,0.007941848,0.007872934,1.139804E-05,192.6028,182.1565,3.482594
"2019-05-10 00:11:00",322042,12.02,68.27203,67.60509,0.1943662,431.9139,0.09858859,0.007867348,171.7646,0,72.1804,60.31976,3.829673,71.75962,59.39909,4.001487,0.4319251,0,0.21488,432.4379,431.5435,0.2208631,0.09972233,0.09694594,0.0007935772,0.007941848,0.007701175,6.528336E-05,182.1565,151.4706,10.50816
"2019-05-10 00:12:00",322043,12.02,53.72303,52.88698,0.1295776,432.809,0.09622775,0.007612838,133.9841,0,60.31976,49.47582,2.838899,59.05575,48.75538,2.761005,0.4319255,0,0.1979331,433.0545,432.4379,0.162322,0.09764001,0.09520935,0.0005559906,0.007769936,0.007494758,5.379909E-05,150.1648,123.3965,6.96489
"2019-05-10 00:13:00",322044,12.02,43.88473,43.15917,0.2663568,432.9031,0.09489133,0.007486746,108.9576,0,49.47582,38.97129,3.590116,48.75538,38.1122,3.603747,0.4319323,0,0.2100036,433.2353,432.5216,0.1857281,0.0959034,0.09416825,0.0006019896,0.007597897,0.007391638,4.995921E-05,124.0494,95.32364,9.409013
"2019-05-10 00:14:00",322045,12.02,51.76963,50.98216,0.2447614,432.544,0.09613502,0.007588754,130.4931,0,54.89869,46.76555,2.633237,54.24981,45.66597,2.734273,0.4319323,0,0.2140377,432.927,432.0323,0.1923228,0.0969447,0.09520955,0.0004935003,0.007632311,0.007494777,5.714091E-05,139.0681,117.5223,6.950156
"2019-05-10 00:15:00",322046,12.02,42.42786,41.87762,0.007198922,432.8033,0.09468918,0.007459269,104.6274,0,49.47646,37.27715,4.727561,49.09937,36.73905,4.806403,0.4319353,0,0.05529597,433.1076,432.5217,0.168415,0.09590376,0.09382156,0.0007347666,0.007632311,0.007357273,8.808893E-05,125.3568,91.40688,12.52717
"2019-05-10 00:16:00",322047,12.02,43.1284,42.22117,0.05759124,432.6127,0.09473536,0.00746671,108.1101,0,48.79918,38.63268,3.823808,48.06978,37.76912,3.860099,0.4319353,0,0.1468294,433.1076,432.2133,0.2230692,0.09555686,0.0938217,0.0006820763,0.007597944,0.007357285,6.83039E-05,122.7464,95.32431,10.3294
"2019-05-10 00:17:00",322048,12.02,45.19491,44.13185,0.1079819,432.5176,0.09517389,0.007510157,112.4937,0,47.4428,42.69852,1.599039,46.69553,41.54529,1.650777,0.4319277,0,0.1870301,432.7993,432.2134,0.1310209,0.09590264,0.09451453,0.0003941456,0.007597824,0.007494687,2.766372E-05,119.4797,106.4218,4.095232
"2019-05-10 00:18:00",322049,12.02,45.01973,43.89714,0.194367,432.3524,0.09519736,0.007498158,112.1126,0,46.76495,43.37619,1.181742,45.32204,42.2319,1.072702,0.4319267,0,0.2148808,432.5447,431.9589,0.1431523,0.09555597,0.09416786,0.0002969517,0.007563479,0.00749472,1.207378E-05,117.5208,107.0745,3.301454
"2019-05-10 00:19:00",322050,12.02,48.13232,46.93634,0.3815401,432.2588,0.09584659,0.007575649,120.5038,0,52.18768,45.07118,2.150388,50.81631,43.94924,2.154584,0.4319326,0,0.13866,432.5447,431.7892,0.21302,0.09694573,0.09555597,0.0004016452,0.007632395,0.00749472,5.054236E-05,130.5804,112.2992,5.925934
"2019-05-10 00:20:00",322051,12.02,49.07546,48.00066,0.2663577,432.0399,0.09605496,0.007587698,121.5373,0,52.18768,43.37658,2.8167,50.81631,42.23229,2.709275,0.4319326,0,0.2100043,432.2897,431.704,0.1490675,0.09694573,0.09521051,0.0005644701,0.007666775,0.00749487,5.55438E-05,130.5804,106.4226,7.624306
"2019-05-10 00:21:00",322052,12.02,45.03696,44.10915,0.3599411,432.1071,0.09542449,0.007536697,113.1362,0,54.89824,42.02087,3.823765,53.90601,40.85869,3.816372,0.4319307,0,0.1609706,432.2897,431.5345,0.1806702,0.09694565,0.0945164,0.0007226571,0.007666768,0.007494867,5.823992E-05,141.0256,103.8105,11.28703
"2019-05-10 00:22:00",322053,12.02,56.87489,55.59401,0.4247289,431.6372,0.09763325,0.007745776,143.4192,0,58.96477,53.20359,1.656858,57.68286,51.84566,1.677702,0.4319287,0,0.05529499,432.1511,431.3958,0.1814219,0.09833378,0.09694427,0.0004759147,0.007804153,0.007632255,4.080256E-05,149.5132,131.8844,4.840002
"2019-05-10 00:23:00",322054,12.02,53.28284,52.17201,0.3311448,432.0015,0.0972451,0.007696438,135.4432,0,59.64279,50.15371,2.567173,59.05652,49.09887,2.704058,0.4319306,0,0.1826851,432.2898,431.0874,0.2489711,0.09833264,0.09659723,0.0004633898,0.007769797,0.007632255,5.52563E-05,154.7371,126.6613,7.621472
"2019-05-10 00:24:00",322055,12.02,66.3356,65.4428,0.4319302,430.7159,0.09909036,0.007900443,169.8733,0,69.13142,60.32055,1.808735,67.64032,59.39988,1.689302,0.4319306,0.4319288,7.489439E-07,431.3648,430.4708,0.1857633,0.09972076,0.09833264,0.0004457152,0.007941695,0.007804176,2.49511E-05,175.6299,156.6958,3.880075
"2019-05-10 00:25:00",322056,12.02,61.61359,60.93889,0.4319282,431.1012,0.09843694,0.007837431,157.6198,0,66.75797,58.96479,2.464186,65.92228,58.02622,2.509271,0.4319288,0.4319222,1.820361E-06,431.5345,430.4709,0.3126076,0.09972112,0.09798579,0.0003601235,0.007907351,0.007769816,5.17494E-05,171.0562,150.1662,6.897147
