"TOA5","CR1000_Lanyu","CR1000","81819","CR1000.Std.31","CPU:CR1000_CWB_RadObs_Lanyu_20180928.CR1","36738","Rad_minute"
"TIMESTAMP","RECORD","BattV_Min","SWD_tot_watt_Avg","SWD_dif_watt_Avg","SWD_dir_watt_Avg","LWD_watt_Avg","UVB_watt_Avg","UVE_watt_Avg","PAR_watt_Avg","mt_flag_Tot","SWD_tot_watt_Max","SWD_tot_watt_Min","SWD_tot_watt_Std","SWD_dif_watt_Max","SWD_dif_watt_Min","SWD_dif_watt_Std","SWD_dir_watt_Max","SWD_dir_watt_Min","SWD_dir_watt_Std","LWD_watt_Max","LWD_watt_Min","LWD_watt_Std","UVB_watt_Max","UVB_watt_Min","UVB_watt_Std","UVE_watt_Max","UVE_watt_Min","UVE_watt_Std","PAR_watt_Max","PAR_watt_Min","PAR_watt_Std"
"TS","RN","Volts","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","umol/s.m^2","","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","umol/s.m^2","umol/s.m^2","umol/s.m^2"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std"
"2019-05-09 00:00:00",320591,12.02,75.65226,77.06844,-0.4319481,430.7858,-999,-999,172.5247,0,77.94512,73.54012,1.296662,78.9738,74.85403,1.236835,-0.4319463,-0.4319498,1.75736E-06,432.0806,428.754,0.9728565,-999,-999,-999,-999,-999,-999,177.595,167.8025,2.885995
"2019-05-09 00:01:00",320592,12.02,79.84831,81.03945,-0.431945,431.1982,-999,-999,181.8058,0,82.01112,77.94512,1.147449,83.09346,78.9738,1.079171,-0.4319426,-0.4319463,1.748421E-06,431.7081,430.8633,0.2131835,-999,-999,-999,-999,-999,-999,186.7343,177.595,2.601324
"2019-05-09 00:02:00",320593,12.02,83.86926,84.97039,-0.4175441,431.6732,-999,-999,190.891,0,86.0773,82.01112,1.190782,87.21331,83.09346,1.188407,0,-0.4319426,0.07753599,432.3409,430.6073,0.4363111,-999,-999,-999,-999,-999,-999,195.8741,186.7343,2.72833
"2019-05-09 00:03:00",320594,12.02,89.20643,90.32079,-0.4031445,432.9156,-999,-999,203.1107,0,93.19484,86.0773,2.105023,94.42477,87.21331,2.086285,0,-0.4319444,0.1077449,433.9871,431.8931,0.4508752,-999,-999,-999,-999,-999,-999,212.199,195.8741,4.739059
"2019-05-09 00:04:00",320595,12.02,99.96134,100.9658,-0.2735648,433.5607,-999,-999,227.8147,0,107.7671,93.53373,4.258872,108.846,94.42477,4.288337,0,-0.4319444,0.2081516,434.2954,433.1558,0.2344097,-999,-999,-999,-999,-999,-999,245.4979,212.8519,9.683849
"2019-05-09 00:05:00",320596,12.02,117.5774,118.5626,-0.1079856,432.8805,-999,-999,266.7274,0,126.4055,108.4449,5.435019,127.387,109.1894,5.420751,0,-0.4319423,0.1870365,433.4347,432.4115,0.2503704,-999,-999,-999,-999,-999,-999,285.9775,246.8038,11.67384
"2019-05-09 00:06:00",320597,12.02,131.5746,132.4641,-0.3455573,431.7836,-999,-999,296.3832,0,134.2013,126.7444,2.318464,135.2857,127.7303,2.297851,0,-0.4319467,0.1727787,432.6904,430.9229,0.4225622,-999,-999,-999,-999,-999,-999,302.3036,285.9775,4.748066
"2019-05-09 00:07:00",320598,12.02,134.2586,135.1491,-0.3167625,430.8238,-999,-999,301.8592,0,134.5402,134.2013,0.1259403,135.2869,134.9435,0.1679198,0,-0.4319505,0.191015,431.3819,430.5398,0.1994755,-999,-999,-999,-999,-999,-999,302.3062,301.6507,0.3030696
"2019-05-09 00:08:00",320599,12.02,134.5193,135.3732,0,430.7837,-999,-999,302.8842,0,134.8812,134.2025,0.2040794,135.9746,135.2869,0.2139222,0,0,0,431.3073,430.4122,0.2076084,-999,-999,-999,-999,-999,-999,303.6143,302.3062,0.3177421
"2019-05-09 00:09:00",320600,12.02,136.0726,136.8269,0,430.7583,-999,-999,305.9095,0,136.9146,134.8812,0.5884107,137.3481,135.9736,0.5224206,0,0,0,431.0519,430.2962,0.2133552,-999,-999,-999,-999,-999,-999,307.5296,303.612,1.056015
"2019-05-09 00:10:00",320601,12.02,130.8194,131.5501,0,430.8919,-999,-999,293.4704,0,135.2191,125.3921,2.941388,135.9736,126.0169,3.00751,0,0,0,431.0519,430.6046,0.1556744,-999,-999,-999,-999,-999,-999,303.612,281.4146,6.576688
"2019-05-09 00:11:00",320602,12.02,119.1904,119.8306,0.01439846,430.3509,-999,-999,267.714,0,125.0532,112.1755,3.848194,125.6735,112.6259,3.86669,0.4319538,0,0.07753827,430.7435,430.1687,0.1183108,-999,-999,-999,-999,-999,-999,280.7617,252.0335,8.586536
"2019-05-09 00:12:00",320603,12.02,105.1886,105.7069,0.05759405,430.1488,-999,-999,236.8963,0,111.8366,98.95885,3.77081,112.6259,99.57811,3.783744,0.4319554,0,0.1468366,430.3077,429.8719,0.161529,-999,-999,-999,-999,-999,-999,251.3806,223.9572,8.178201
"2019-05-09 00:13:00",320604,12.01,94.8751,95.36607,0.02879713,430.0857,-999,-999,214.7298,0,98.95885,91.50304,2.200177,99.57811,92.02391,2.149732,0.431957,0,0.107749,430.3077,429.8719,0.1421344,-999,-999,-999,-999,-999,-999,223.3051,207.6346,4.572851
"2019-05-09 00:14:00",320605,12.02,89.27115,89.78547,-0.007199283,430.0804,-999,-999,202.8445,0,91.50304,87.43536,1.271663,92.02391,87.55918,1.300897,0,-0.431957,0.05529874,430.1803,429.925,0.1044068,-999,-999,-999,-999,-999,-999,207.6346,198.4914,2.723113
"2019-05-09 00:15:00",320606,12.01,85.7469,86.18037,0,430.0141,-999,-999,195.1188,0,87.09647,84.3858,0.7713742,87.55918,84.81273,0.8014159,0,0,0,430.2333,429.6587,0.2016126,-999,-999,-999,-999,-999,-999,198.4914,192.6162,1.723676
"2019-05-09 00:16:00",320607,12.01,83.45903,83.86802,0,429.6576,-999,-999,190.1449,0,84.3858,82.69059,0.5669397,84.81273,82.75179,0.5735856,0,0,0,429.7976,429.543,0.06450346,-999,-999,-999,-999,-999,-999,191.9633,188.044,1.301539
"2019-05-09 00:17:00",320608,12.01,81.4426,81.73914,0.007199191,429.5705,-999,-999,185.4982,0,82.35169,80.65779,0.533796,82.75179,81.03553,0.4950839,0.4319515,0,0.05529804,429.6703,429.4156,0.0738581,-999,-999,-999,-999,-999,-999,187.3911,183.4748,1.09008
"2019-05-09 00:18:00",320609,12.02,79.87245,80.22839,0.05759372,429.5408,-999,-999,181.9835,0,80.65779,79.30158,0.5009457,81.03553,79.66143,0.5203012,0.4319546,0,0.1468357,429.6703,429.4156,0.09721587,-999,-999,-999,-999,-999,-999,183.4748,180.2088,1.026617
"2019-05-09 00:19:00",320610,12.02,78.64651,78.9691,0.05039436,429.4943,-999,-999,179.1752,0,79.30158,77.9466,0.2613793,79.66143,78.63193,0.238464,0.4319545,0,0.1386663,429.6818,429.1073,0.1320718,-999,-999,-999,-999,-999,-999,180.2088,178.2513,0.6447543
"2019-05-09 00:20:00",320611,12.02,78.99146,79.36438,0.007199242,429.3055,-999,-999,179.6659,0,79.97999,78.2855,0.6195349,80.34879,78.63193,0.6124244,0.4319545,0,0.05529843,429.6818,429.1073,0.1484428,-999,-999,-999,-999,-999,-999,181.516,177.5984,1.262308
"2019-05-09 00:21:00",320612,12.02,81.91653,82.34522,0.00719917,429.4697,-999,-999,185.965,0,84.04592,79.97919,1.177371,84.46838,80.34798,1.173647,0.4319502,0,0.05529787,429.6819,429.4157,0.07812463,-999,-999,-999,-999,-999,-999,190.6552,182.1671,2.487686
"2019-05-09 00:22:00",320613,12.02,87.00611,87.49052,0.007199214,429.3895,-999,-999,196.9245,0,90.82438,84.04592,2.052036,91.3363,84.46838,2.016684,0.4319529,0,0.05529821,429.5545,429.1074,0.146754,-999,-999,-999,-999,-999,-999,205.0209,190.6552,4.390136
"2019-05-09 00:23:00",320614,12.02,95.86765,96.34312,0.02879662,429.2413,-999,-999,216.2063,0,100.9905,90.82438,3.009485,101.6366,91.3363,3.014337,0.4319493,0,0.1077471,429.5545,428.7991,0.1595205,-999,-999,-999,-999,-999,-999,227.8717,205.0209,6.600782
"2019-05-09 00:24:00",320615,12.02,106.7183,107.1138,0.01439837,428.9921,-999,-999,239.7453,0,111.1581,101.3294,2.971983,111.2517,101.6366,2.917546,0.4319526,0,0.07753757,429.2462,428.799,0.1552035,-999,-999,-999,-999,-999,-999,249.4202,227.8717,6.341738
"2019-05-09 00:25:00",320616,12.02,114.6944,115.0463,0.1655827,428.8752,-999,-999,257.4086,0,118.6146,111.1581,2.175926,118.8065,111.595,2.149627,0.4319554,0,0.2100158,429.0652,428.4907,0.1129828,-999,-999,-999,-999,-999,-999,265.7451,249.4202,4.83031
"2019-05-09 00:26:00",320617,12.02,123.1328,123.4588,0.4031569,428.7781,-999,-999,276.1367,0,127.7638,118.6146,2.798068,128.0765,118.8065,2.842445,0.4319554,0,0.1077483,428.8843,428.4907,0.09400193,-999,-999,-999,-999,-999,-999,285.9838,265.7451,6.215391
"2019-05-09 00:27:00",320618,12.02,131.2993,131.5614,0.4103531,428.8188,-999,-999,294.4276,0,133.8627,128.1027,1.792193,133.9126,128.0765,1.780297,0.4319518,0,0.09414145,429.1926,428.618,0.1007822,-999,-999,-999,-999,-999,-999,300.3456,286.6368,4.105944
"2019-05-09 00:28:00",320619,12.02,132.7106,132.854,0.4319483,428.7726,-999,-999,297.6906,0,134.2016,130.8136,1.078925,133.9126,130.8232,1.015053,0.4319509,0.4319479,1.085439E-06,429.0121,428.4371,0.156027,-999,-999,-999,-999,-999,-999,300.3456,293.1655,2.219654
"2019-05-09 00:29:00",320620,12.02,128.5035,128.6485,0.4319508,428.7181,-999,-999,288.7908,0,130.4747,126.4071,1.236709,130.8232,126.7019,1.224757,0.4319509,0.4319477,4.082335E-07,428.9701,428.4371,0.09788236,-999,-999,-999,-999,-999,-999,293.1655,284.0224,2.727034
"2019-05-09 00:30:00",320621,12.02,125.2322,125.3627,0.4319477,428.6825,-999,-999,281.6718,0,126.4071,124.7126,0.5006227,126.3585,124.985,0.4636496,0.4319477,0.4319477,0,428.9702,428.2562,0.1638271,-999,-999,-999,-999,-999,-999,284.0224,280.7578,1.033738
